Gradient,Spectral Flatness,Rib-cross,Peak-ratio,Slope-ratio,Slope-smooth,On-Rib Rands,On-Rib value,Edge,Vessel1,vessel2,Class
1748708.0,3.3809916178385415,1915228.5,1915228.5,5852601053.0,8778901580.0,0.999999973313781,13.534520274831282,7682191.0,0.03033447265625,160.0,adenocarcinoma
1403552.0,3.228918711344401,1756090.0,1756090.0,5136524433.0,7704917758.0,0.9999999712409228,14.294729807883842,6582597.666666667,0.028545379638671875,160.0,adenocarcinoma
1636951.5,3.455244700113932,1903457.0,1903457.0,5681555147.0,8522283200.0,0.9999999743893052,14.358021352780753,7444599.333333333,0.031208038330078125,160.0,adenocarcinoma
1025658.5,3.0872217814127603,1628066.0,1628066.0,6085169931.0,9127754897.0,0.9999999691082115,14.272261955630418,5784402.0,0.02687835693359375,160.0,adenocarcinoma
1002879.5,3.0415026346842446,1602714.0,1602714.0,4848678059.0,7271285045.0,0.9999999682849179,14.418876332916883,5645604.0,0.026340484619140625,160.0,adenocarcinoma
1278868.5,3.2461039225260415,1739269.5,1739269.5,5591775267.0,8387662901.0,0.9999999715484618,14.21366061857045,6432404.333333333,0.02874755859375,160.0,adenocarcinoma
1649254.5,3.3634821573893228,1888506.5,1888506.5,6381456303.0,9571216681.0,0.9999999731058529,13.217612701971282,7439041.333333333,0.03012847900390625,160.0,adenocarcinoma
1181218.5,3.151747385660807,1670498.0,1670498.0,6291549469.0,9437611440.0,0.9999999700947568,14.966748330081495,5997492.666666667,0.027637481689453125,160.0,adenocarcinoma
1124304.0,3.120295206705729,1655359.5,1655359.5,6627143229.0,9937619642.0,0.9999999696487097,14.785586815404827,5984757.333333333,0.0272674560546875,160.0,adenocarcinoma
995335.0,3.081061045328776,1636577.5,1636577.5,5717859187.0,8576164902.0,0.9999999689605885,14.141856777533139,5803055.666666667,0.026805877685546875,160.0,adenocarcinoma
1046660.5,3.0781428019205728,1631649.5,1631649.5,5887975459.0,8832225921.0,0.9999999689235637,14.407420458655144,5842150.333333333,0.02677154541015625,160.0,adenocarcinoma
1392541.0,3.231512705485026,1748312.5,1748312.5,5205572833.0,7807542407.0,0.9999999712734137,14.89237558213433,6602099.0,0.028575897216796875,160.0,adenocarcinoma
1624110.5,3.403364817301432,1847194.5,1847194.5,6285148843.0,9426983201.0,0.999999973845986,14.292943988441333,7121939.333333333,0.030597686767578125,160.0,adenocarcinoma
1112603.0,3.1352106730143228,1661032.0,1661032.0,5665096159.0,8497857761.0,0.9999999698469145,15.322531656703829,6029419.666666667,0.02744293212890625,160.0,adenocarcinoma
2676335.5,4.119307200113933,2410131.5,2410131.5,6359362677.0,9537614135.0,0.9999999809924912,13.366569498128152,10482425.333333334,0.039020538330078125,160.0,adenocarcinoma
5327592.0,5.4107920328776045,3434530.0,3434530.0,12295790323.0,18441965049.0,0.9999999883440451,11.517651012801043,17273622.666666668,0.0542144775390625,160.0,adenocarcinoma
2689483.0,3.9990107218424478,2284211.0,2284211.0,7623825221.0,11427715516.0,0.999999980090946,13.604775039266098,9956508.0,0.03760528564453125,160.0,adenocarcinoma
1470254.5,3.3245722452799478,1791269.0,1791269.0,7143746089.0,10712877783.0,0.9999999726916393,14.521520871284448,6863479.666666667,0.02967071533203125,160.0,adenocarcinoma
1737639.0,3.473402659098307,1944459.5,1944459.5,7230271473.0,10844334797.0,0.9999999745639429,14.900416845198084,7662482.666666667,0.031421661376953125,160.0,adenocarcinoma
1380611.0,3.229567209879557,1759880.0,1759880.0,5199793501.0,7798690007.0,0.9999999712571724,13.754149699367582,6634648.0,0.028553009033203125,160.0,adenocarcinoma
1222294.0,3.177687327067057,1712005.0,1712005.0,5119221893.0,7679176013.0,0.9999999704602842,13.807066246729594,6305843.666666667,0.027942657470703125,160.0,adenocarcinoma
1086130.0,3.0927340189615884,1644782.5,1644782.5,5442752079.0,8163796370.0,0.9999999691376485,15.041369942523561,5955323.666666667,0.026943206787109375,160.0,adenocarcinoma
1590092.5,3.333326975504557,1841695.0,1841695.0,6979183313.0,10468942430.0,0.9999999727446174,14.01014505328112,7168585.0,0.029773712158203125,160.0,adenocarcinoma
1289311.5,3.2276217142740884,1753915.5,1753915.5,6184449571.0,9277489161.0,0.9999999712910831,13.507966556045552,6570576.0,0.028530120849609375,160.0,adenocarcinoma
1889059.5,3.529822031656901,2002421.5,2002421.5,5816023573.0,8722167485.0,0.9999999752017746,13.543484326213969,8126509.333333333,0.032085418701171875,160.0,adenocarcinoma
1101000.0,3.0904642740885415,1631930.0,1631930.0,4905113507.0,7358053857.0,0.9999999690994122,14.621865385500145,5785634.0,0.02691650390625,160.0,adenocarcinoma
964184.5,3.0431238810221353,1597297.0,1597297.0,4778008491.0,7166438555.0,0.9999999683349781,14.509503786039772,5610407.333333333,0.02635955810546875,160.0,adenocarcinoma
2525135.5,3.859907786051432,2195830.0,2195830.0,6966000969.0,10451607839.0,0.9999999788330687,13.536391258085589,9572524.333333334,0.035968780517578125,160.0,adenocarcinoma
1733912.0,3.3997980753580728,1921244.0,1921244.0,5816885615.0,8724741805.0,0.9999999735724299,13.679195223907877,7701952.333333333,0.03055572509765625,160.0,adenocarcinoma
930017.0,3.0440966288248696,1587030.5,1587030.5,4941713613.0,7411628702.0,0.9999999683646799,15.035504242442663,5531662.666666667,0.026371002197265625,160.0,adenocarcinoma
1556864.5,3.3141962687174478,1852403.0,1852403.0,7246732791.0,10870099187.0,0.999999972472585,13.31901081116713,7279112.666666667,0.02954864501953125,160.0,adenocarcinoma
